fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
13.4,0.96,1.42,46.8,0.377,238.2,346.1,1.01333,3.32,0.69,10.5,4
11.9,0.78,0.9,44.9,0.203,110.5,187.8,1.02056,3.15,0.96,10.6,4
11.6,0.98,1.01,46.6,0.287,190.3,285.3,1.02034,3.33,1.33,11.1,4
10.5,0.64,0.85,28.7,0.32,211.7,382.4,1.01565,3.25,1.27,11.9,4
13.5,1.25,0.67,32.5,0.309,215.9,323.8,1.02398,2.9,1.27,11.5,4
10.0,1.3,0.25,45.3,0.242,164.0,272.6,1.01556,3.33,1.26,12.0,4
12.5,0.51,1.22,56.7,0.344,103.5,242.9,1.01545,3.52,1.08,12.5,4
11.2,1.18,1.08,45.1,0.295,229.1,236.8,1.02112,3.04,1.21,11.6,4
7.3,0.92,0.97,46.4,0.377,200.6,305.0,1.01964,2.97,1.16,12.6,4
11.7,1.04,0.8,35.3,0.22,198.6,331.3,1.019,3.39,1.24,10.4,4
14.4,1.2,0.68,32.9,0.377,224.0,150.4,0.99873,3.34,1.35,10.3,4
10.2,0.78,0.8,47.6,0.175,218.6,226.5,1.02312,3.01,1.13,13.0,4
10.1,0.52,0.94,51.7,0.418,128.0,308.8,1.00981,3.11,1.33,12.4,4
10.9,1.32,0.69,43.5,0.164,205.6,329.5,1.02196,2.94,1.45,12.2,4
9.2,1.17,1.18,51.4,0.427,129.4,252.9,1.01114,3.32,1.15,11.7,4
12.0,1.28,0.33,43.3,0.162,249.2,373.8,1.01999,3.03,1.53,11.4,4
8.7,1.25,0.99,51.3,0.264,187.8,322.2,1.00462,3.33,1.04,12.7,4
13.8,0.9,1.03,51.1,0.134,96.1,224.3,1.02581,2.98,1.58,10.9,4
9.3,1.19,0.81,38.8,0.251,250.5,348.8,1.01278,3.14,1.11,12.5,4
14.4,1.17,0.85,36.6,0.205,222.4,232.6,1.01887,3.02,1.05,11.3,4
13.1,1.27,1.02,44.0,0.317,176.2,190.4,1.01228,2.99,1.35,11.9,4
10.2,1.12,1.07,47.4,0.096,112.5,369.7,1.00853,3.02,1.58,12.3,4
10.1,0.38,1.24,47.8,0.425,114.4,185.3,1.01496,3.06,1.08,10.8,4
13.9,1.16,1.32,46.3,0.3,195.9,381.7,1.02345,2.97,0.98,9.0,4
7.3,1.18,1.04,44.1,0.141,167.7,318.0,1.01097,3.03,1.47,11.0,4
9.2,0.8,1.2,43.8,0.27,128.9,308.0,1.0056,3.32,1.23,12.1,4
11.8,0.63,0.91,50.8,0.34,157.7,276.1,1.01269,3.25,1.36,12.6,4
12.9,0.87,0.81,23.0,0.276,175.9,256.7,1.0243,3.26,1.32,12.2,4
12.9,1.05,0.91,35.1,0.359,252.6,276.0,1.02743,2.99,1.16,9.1,4
11.7,0.98,1.24,36.2,0.185,215.1,367.7,1.0262,3.14,0.75,11.5,4
14.0,1.11,1.05,39.6,0.215,198.8,381.1,1.01783,3.18,1.12,11.1,4
12.9,0.34,1.08,53.5,0.396,159.9,193.7,1.03111,3.57,0.85,13.5,4
12.6,0.67,0.47,39.8,0.413,213.1,326.8,1.02629,3.09,1.37,11.5,4
6.7,1.31,1.18,46.6,0.198,211.1,358.5,1.02461,3.19,1.15,12.7,4
9.1,1.0,0.98,51.8,0.339,127.9,308.0,1.02071,3.37,0.72,10.1,4
12.4,1.0,1.25,37.4,0.168,113.9,234.0,1.00385,2.9,1.78,12.0,4
9.5,0.31,0.99,37.8,0.297,193.3,229.8,1.01599,3.37,1.0,12.9,4
11.5,0.91,1.08,47.3,0.157,219.1,311.9,1.00235,2.96,1.35,11.3,4
11.0,1.03,0.88,37.0,0.218,228.7,267.1,1.00838,2.99,1.54,12.0,4
11.3,1.24,1.13,38.3,0.3,204.3,269.5,1.0185,3.08,1.43,11.7,4
13.8,0.82,0.89,59.0,0.331,221.0,325.7,1.01953,2.94,1.15,11.3,4
12.6,1.14,0.99,35.1,0.146,143.6,233.0,1.0132,2.79,1.61,11.8,4
12.5,0.93,0.7,39.1,0.069,251.1,109.9,1.01214,3.0,1.65,11.5,4
14.1,0.75,0.8,48.1,0.19,180.3,331.6,1.01046,3.37,1.53,9.7,4
13.4,0.79,1.14,53.1,0.424,198.9,291.3,1.01365,2.82,1.1,9.9,4
10.8,1.28,1.01,40.8,0.226,227.8,269.0,1.02633,2.9,1.52,12.2,4
9.7,1.09,0.88,37.1,0.194,164.9,305.3,1.00724,3.0,1.4,13.6,4
9.3,1.15,0.71,47.3,0.231,245.3,323.9,1.01118,3.13,0.75,10.4,4
12.6,0.56,1.43,53.8,0.272,162.0,362.8,1.01694,3.23,1.56,12.5,4
6.2,1.13,1.43,50.9,0.254,190.6,299.9,1.01837,3.21,1.22,12.6,4
11.3,0.81,0.88,45.2,0.282,145.1,218.3,1.01778,3.25,1.46,12.1,4
8.5,1.38,0.82,50.6,0.215,98.7,396.9,1.01817,3.14,1.63,13.1,4
11.3,0.54,0.98,29.2,0.204,58.9,218.9,1.01888,3.04,1.52,12.2,4
11.1,0.83,1.04,50.0,0.208,167.8,297.4,1.02456,2.98,1.03,13.1,4
13.4,0.96,0.54,45.4,0.205,165.3,156.4,1.01457,3.13,1.28,10.3,4
10.2,0.62,0.54,46.8,0.292,241.9,346.5,1.0192,2.87,0.78,11.2,4
11.1,0.84,0.65,32.4,0.269,93.5,250.6,1.01186,2.91,1.41,11.8,4
11.0,0.91,0.91,54.0,0.337,188.3,279.1,1.02031,3.07,0.64,9.6,4
11.8,1.15,1.19,39.5,0.183,192.9,385.4,1.01885,3.06,1.58,13.4,4
10.9,0.88,1.29,33.8,0.179,151.7,119.5,1.03148,3.08,1.26,11.8,4
7.6,1.16,0.75,44.3,0.355,237.0,355.4,1.00864,3.33,1.13,11.2,4
13.2,1.34,1.08,34.7,0.366,233.3,317.1,1.00983,3.03,1.68,12.3,4
11.4,1.05,1.01,43.7,0.246,122.8,326.8,1.02331,3.13,1.39,11.5,4
11.6,1.22,1.02,47.1,0.254,179.3,256.9,1.00717,3.3,1.15,10.9,4
12.8,0.94,0.75,37.6,0.285,207.6,252.2,1.01636,2.95,1.17,11.3,4
12.9,0.78,0.95,60.6,0.509,151.0,189.9,1.02369,3.22,0.39,11.9,4
10.3,0.98,1.15,43.5,0.217,147.8,339.6,1.03073,3.0,1.35,13.1,4
13.3,1.12,0.61,53.1,0.258,146.7,292.7,1.02204,2.85,0.92,10.7,4
12.6,1.27,1.25,47.5,0.216,212.1,218.2,1.01128,3.23,1.13,10.9,4
7.1,0.94,0.56,45.5,0.154,160.2,309.8,1.01813,3.05,1.71,12.8,4
9.7,1.1,1.26,35.3,0.395,147.5,289.2,1.03047,3.26,1.13,10.4,4
10.5,0.83,0.83,45.7,0.202,178.4,247.8,1.01754,3.02,1.1,9.9,4
12.8,1.02,0.74,39.0,0.29,200.7,389.0,1.00557,3.06,1.06,12.3,4
7.1,0.65,0.93,46.3,0.113,113.8,252.0,1.00741,3.37,1.23,11.6,4
8.1,1.19,0.8,54.2,0.144,218.1,300.3,1.01251,2.88,1.27,11.6,4
12.4,1.2,1.13,37.4,0.21,224.0,291.2,1.01663,3.03,1.45,11.3,4
11.6,0.62,1.03,39.1,0.384,165.3,297.0,1.02689,3.48,1.41,12.3,4
12.6,0.95,1.22,41.1,0.304,220.9,115.7,1.0167,3.13,0.74,11.1,4
12.8,0.86,1.48,31.1,0.177,233.3,169.7,1.0151,3.34,0.51,10.7,4
8.3,0.8,1.37,38.4,0.333,110.7,376.0,1.01179,3.3,1.49,13.0,4
12.4,1.38,0.77,55.2,0.452,223.9,390.5,1.0247,3.17,0.56,10.6,4
13.8,1.07,0.63,60.5,0.312,208.4,364.2,1.01956,3.02,0.53,10.9,4
12.3,1.15,0.7,48.4,0.288,219.4,265.1,1.02107,3.27,1.19,11.6,4
12.6,0.88,0.94,32.6,0.265,222.5,264.7,0.99332,3.13,1.4,12.8,4
5.9,1.32,1.42,48.8,0.311,116.1,306.0,1.01457,3.56,1.14,12.9,4
7.4,1.07,1.24,40.7,0.126,155.1,348.6,1.01002,3.28,1.16,11.5,4
10.9,0.67,1.19,51.7,0.416,63.4,277.7,1.01615,3.29,1.43,11.4,4
9.8,0.76,0.72,41.8,0.222,115.1,351.4,1.00943,3.12,1.63,12.6,4
10.0,0.29,0.78,60.1,0.15,203.3,387.4,1.0273,3.24,0.85,11.6,4
12.6,0.85,1.44,44.5,0.347,165.8,181.6,1.02752,3.25,0.69,9.7,4
13.0,0.95,0.95,32.0,0.221,216.5,273.9,1.01152,3.25,0.92,12.5,4
10.9,0.99,1.07,42.8,0.317,170.4,256.0,1.01636,3.2,1.71,11.9,4
6.5,1.31,1.04,34.9,0.079,214.5,310.9,1.00387,3.13,0.97,13.1,4
8.7,1.32,0.94,48.0,0.39,231.0,299.2,1.00077,3.21,1.38,13.0,4
11.8,0.89,1.42,33.2,0.134,206.9,192.4,1.01366,3.29,1.53,12.1,4
10.0,0.94,1.0,60.7,0.386,139.1,383.2,1.02675,3.4,1.1,12.0,4
9.5,1.44,1.0,45.5,0.188,250.6,267.0,0.99665,3.46,1.26,12.0,4
11.4,0.9,0.6,30.7,0.215,157.6,281.8,1.0154,3.11,1.38,12.0,4
9.4,0.74,1.15,44.3,0.226,103.2,362.1,1.02107,3.15,1.0,12.6,4
11.8,0.75,0.77,47.8,0.198,121.7,316.6,1.01734,3.02,1.28,11.0,4
8.4,1.28,0.9,40.7,0.107,138.0,231.5,1.01633,2.88,1.12,12.1,4
7.5,0.99,0.91,28.8,0.255,125.2,298.8,1.02431,3.15,1.11,13.5,4
13.4,0.73,0.62,41.1,0.375,141.4,310.3,1.02942,3.04,1.26,11.1,4
8.2,1.02,0.93,40.4,0.104,110.9,119.0,1.02185,3.36,0.86,10.4,4
13.9,1.18,0.5,36.7,0.209,244.5,207.8,1.01598,3.08,1.05,10.8,4
11.3,0.77,1.22,51.0,0.299,167.9,191.4,1.02761,3.32,1.22,12.9,4
11.2,0.94,1.0,52.4,0.241,202.8,339.4,1.01888,2.95,1.09,11.2,4
8.7,1.05,1.14,54.2,0.325,158.8,331.2,1.02375,3.04,1.26,11.8,4
10.6,0.87,1.01,18.9,0.293,182.3,201.8,1.0026,3.04,1.68,12.2,4
11.1,1.01,1.0,44.4,0.192,130.0,291.4,1.02933,3.27,1.51,11.2,4
12.6,0.88,0.94,32.6,0.265,222.5,264.7,0.99332,3.13,1.4,12.8,4
10.8,0.98,0.74,41.0,0.144,138.1,310.2,1.01164,3.42,1.54,11.1,4
11.4,0.74,0.71,56.3,0.373,161.3,304.8,1.01927,3.34,0.8,10.6,4
8.7,1.16,0.77,40.8,0.381,144.6,367.1,1.01447,3.22,1.17,11.8,4
11.4,0.9,1.43,52.1,0.426,137.3,381.8,1.02307,3.07,1.3,11.3,4
8.2,0.74,0.84,19.2,0.354,194.4,291.8,1.01467,3.23,1.69,12.4,4
11.7,0.86,1.17,47.2,0.289,160.0,323.4,1.01103,3.03,1.29,10.9,4
14.0,0.93,1.1,47.5,0.239,226.5,298.4,1.02207,3.01,1.3,11.3,4
9.3,1.4,0.37,59.4,0.227,219.0,417.2,1.00721,3.01,1.76,12.5,4
10.9,1.04,0.73,52.0,0.094,129.2,349.9,1.01689,3.01,1.43,13.2,4
11.2,0.94,1.0,52.4,0.241,202.8,339.4,1.01888,2.95,1.09,11.2,4
13.4,0.73,0.62,41.1,0.375,141.4,310.3,1.02942,3.04,1.26,11.1,4
11.0,1.01,1.07,27.6,0.221,209.3,289.2,1.02008,3.07,1.47,10.9,4
9.1,0.98,1.46,45.7,0.323,213.7,410.9,1.02843,3.02,1.18,11.4,4
9.2,1.16,0.98,39.0,0.188,130.8,109.0,1.02204,2.88,1.37,11.1,4
10.7,0.43,0.9,23.4,0.375,173.3,280.7,1.01578,3.42,1.13,12.0,4
10.5,1.35,1.29,42.3,0.456,235.5,374.4,1.00992,2.96,0.7,11.9,4
10.0,0.86,1.21,30.8,0.212,102.2,266.3,1.01323,3.03,1.28,13.2,4
9.6,1.04,1.27,40.0,0.305,173.4,279.6,1.02422,3.17,1.34,11.8,4
9.6,0.9,0.88,40.5,0.326,167.9,276.2,1.02691,3.3,0.78,12.2,4
10.9,0.93,1.02,42.4,0.503,171.4,346.7,1.02208,3.25,0.86,11.1,4
12.1,0.97,1.38,31.6,0.454,152.7,314.5,1.0144,3.12,1.31,11.6,4
11.0,1.03,0.42,31.3,0.211,223.7,281.2,1.01598,2.9,1.17,11.0,4
9.4,1.08,0.99,22.5,0.216,183.6,328.9,1.01517,2.85,1.65,10.7,4
11.7,1.29,0.91,46.3,0.372,214.1,366.0,1.01476,3.1,1.52,11.0,4
14.2,0.95,1.09,36.7,0.279,166.3,241.3,1.00636,3.11,1.51,12.6,4
14.2,1.05,1.02,46.7,0.301,198.4,294.9,1.03472,2.9,0.85,10.7,4
10.0,1.15,0.77,41.8,0.286,120.9,285.9,1.02372,3.21,0.88,13.4,4
11.1,0.94,0.99,46.3,0.238,87.9,246.5,1.01953,3.25,0.99,11.2,4
13.6,0.6,1.11,36.0,0.205,140.8,269.7,1.02239,3.3,1.67,10.6,4
9.2,1.19,0.87,47.4,0.237,180.1,106.8,1.01616,2.86,1.38,12.1,4
12.6,1.4,1.22,45.7,0.221,209.8,346.3,1.03079,2.88,1.66,12.5,4
13.0,0.8,0.92,43.6,0.464,103.6,320.9,1.01821,2.97,1.73,12.1,4
12.5,0.82,0.59,27.5,0.231,187.5,349.7,1.02872,3.08,1.29,13.3,4
12.8,0.79,1.01,39.4,0.319,154.2,298.9,1.02081,2.88,1.26,11.4,4
13.1,1.01,0.98,50.0,0.219,190.3,282.7,1.01949,2.83,1.46,10.4,4
9.6,0.75,0.79,46.9,0.251,129.6,284.6,1.01696,3.43,0.62,13.4,4
11.6,1.35,0.74,33.4,0.13,201.5,280.3,1.02227,2.96,0.71,12.2,4
12.6,1.35,1.28,34.9,0.32,161.6,286.2,1.01294,3.05,1.66,11.9,4
12.0,1.37,1.34,43.9,0.148,248.0,306.4,1.0067,2.91,1.74,10.4,4
8.4,0.96,0.69,34.0,0.475,228.5,402.3,1.01777,3.1,1.4,12.6,4
10.4,1.31,1.04,35.7,0.227,166.9,320.8,1.00951,3.15,1.23,11.8,4
10.8,1.24,1.33,41.1,0.17,165.2,340.7,1.01929,3.15,1.27,13.7,4
12.9,0.87,1.03,55.1,0.317,117.8,290.4,1.02669,3.1,0.85,10.8,4
11.3,1.4,0.85,40.0,0.085,249.6,211.9,1.01083,3.48,1.45,10.7,4
9.8,0.97,0.67,52.8,0.147,53.3,139.4,1.00924,3.05,0.82,12.0,4
13.4,1.16,0.9,40.9,0.139,240.7,291.0,1.0125,2.96,0.77,11.2,4
10.1,1.1,0.57,43.4,0.163,244.8,348.2,1.02177,3.09,1.18,10.8,4
6.7,1.04,1.05,47.6,0.052,186.1,210.1,1.00415,3.24,0.67,12.5,4
9.4,0.87,1.13,35.6,0.195,187.0,226.1,1.02245,3.29,1.2,11.8,4
11.4,1.05,0.34,42.3,0.094,202.1,265.0,1.01811,2.89,1.65,11.0,4
9.9,1.05,1.21,39.1,0.207,192.6,295.2,1.00842,3.48,0.66,11.3,4
11.1,1.16,0.76,40.4,0.139,202.5,239.4,1.02496,3.13,1.37,9.4,4
13.2,0.77,0.97,44.5,0.258,221.6,267.0,1.00655,3.5,1.47,13.1,4
13.0,1.37,0.71,37.7,0.085,257.4,321.9,1.01811,3.26,1.09,10.6,4
13.4,0.49,0.97,55.6,0.294,103.9,277.3,1.02214,3.34,1.05,11.5,4
8.5,1.17,1.06,53.2,0.135,91.9,237.0,1.00219,2.92,1.71,11.9,4
13.7,0.68,1.23,21.2,0.34,92.4,260.2,1.01509,2.96,1.67,11.6,4
9.2,1.1,1.09,55.6,0.325,231.7,260.4,1.00602,3.06,0.9,11.2,4
10.0,0.9,0.94,49.7,0.375,116.1,360.2,1.00654,3.0,1.28,11.8,4
9.0,0.67,0.66,48.4,0.254,178.9,209.7,1.02082,2.8,1.33,11.5,4
9.6,0.41,1.2,49.5,0.28,116.1,222.9,1.00801,3.08,1.24,12.3,4
14.5,0.49,0.71,47.5,0.282,158.1,187.3,1.00575,2.96,1.47,10.3,4
10.6,1.15,1.23,41.8,0.303,182.7,236.3,1.017,3.03,1.08,12.5,4
13.1,0.97,0.76,57.7,0.266,187.4,298.2,1.01609,2.89,0.9,10.3,4
12.6,1.07,0.91,56.7,0.127,225.0,327.0,1.01921,2.99,1.39,11.7,4
13.2,1.31,0.89,44.6,0.23,113.5,300.9,1.02854,3.17,1.26,12.2,4
10.9,1.01,1.29,47.7,0.091,206.9,344.7,1.0142,2.9,1.24,10.2,4
9.2,0.69,0.71,28.8,0.322,123.9,246.8,1.02766,3.11,1.12,12.7,4
10.3,1.29,0.99,46.5,0.357,182.4,322.3,1.00794,3.23,1.29,10.2,4
9.6,1.12,0.91,48.3,0.257,234.9,295.7,1.01485,3.41,0.87,10.2,4
11.6,0.94,0.64,53.1,0.383,165.6,309.6,1.0178,3.04,1.07,10.8,4
9.6,1.04,1.27,40.0,0.305,173.4,279.6,1.02422,3.17,1.34,11.8,4
12.4,1.14,0.96,47.4,0.367,240.1,348.4,1.01759,3.07,0.99,13.3,4
11.8,0.61,0.8,33.1,0.323,152.3,228.7,1.01707,3.51,0.74,10.5,4
13.4,0.71,0.95,56.7,0.349,206.2,282.0,1.02139,3.13,1.05,10.6,4
10.3,1.08,0.96,47.6,0.242,132.1,213.4,1.01009,3.14,0.84,10.9,4
13.4,1.34,0.45,40.3,0.25,190.0,183.5,1.01041,3.02,1.18,10.6,4
7.7,0.83,1.17,48.4,0.226,118.8,356.1,1.01392,3.16,0.92,11.2,4
9.0,1.42,1.19,38.2,0.326,71.1,225.7,1.01176,3.11,1.27,12.9,4
10.0,1.15,1.22,51.7,0.346,79.2,326.6,1.00673,2.98,1.28,12.5,4
13.2,0.77,0.97,44.5,0.258,221.6,267.0,1.00655,3.5,1.47,13.1,4
13.5,0.78,0.95,32.7,0.276,227.7,288.6,1.00558,3.12,1.0,9.2,4
13.4,0.51,1.32,37.0,0.209,179.8,201.8,1.01668,2.92,0.67,11.7,4
12.1,1.0,0.61,37.4,0.26,194.3,274.0,1.00239,3.12,1.24,10.9,4
11.7,0.72,1.06,43.6,0.147,123.7,146.4,1.02119,3.28,0.74,10.7,4
11.7,1.38,1.01,26.6,0.083,215.0,327.4,1.02467,2.87,1.5,12.9,4
9.1,0.69,0.83,36.1,0.066,183.8,190.8,1.02313,3.01,1.41,12.9,4
6.5,1.13,1.19,45.0,0.195,182.3,379.9,1.01322,3.38,0.8,11.6,4
8.4,1.11,1.09,47.1,0.113,57.6,222.1,1.00528,2.96,1.24,12.4,4
9.2,1.4,1.03,39.0,0.306,224.7,400.5,1.0144,3.18,1.41,12.7,4
9.9,0.93,0.94,27.1,0.262,152.3,274.0,1.01126,3.05,1.54,11.3,4
13.3,1.01,1.0,38.9,0.285,175.5,318.9,1.00805,3.22,1.39,12.3,4
9.6,1.29,1.47,55.2,0.398,170.7,312.9,1.01979,3.24,1.22,12.9,4
12.2,0.93,1.47,42.0,0.27,178.9,178.8,1.00781,3.66,1.37,10.3,4
13.0,1.19,1.01,30.0,0.152,228.9,298.1,1.02064,3.08,1.72,12.3,4
11.0,1.33,0.46,46.0,0.188,231.9,362.4,1.01472,2.97,1.4,12.6,4
7.7,1.19,0.87,28.4,0.411,236.1,308.5,1.01989,3.21,1.32,11.7,4
12.8,0.64,1.01,35.0,0.216,140.5,363.7,1.01876,3.28,0.95,12.4,4
6.4,1.31,0.91,31.3,0.164,146.1,296.2,1.01606,2.97,1.13,13.6,4
13.8,1.01,1.05,29.3,0.334,204.1,322.1,1.01158,3.13,1.77,11.3,4
13.5,1.3,0.68,56.1,0.43,113.7,309.3,1.02851,2.91,0.92,11.8,4
11.6,1.26,0.81,51.1,0.208,204.3,283.1,1.01991,2.96,0.81,11.2,4
12.8,1.02,1.06,45.9,0.204,237.7,266.1,1.02107,3.02,0.97,9.9,4
11.4,0.84,1.39,28.3,0.321,202.2,282.4,1.02224,3.47,1.29,11.8,4
8.7,0.7,1.2,41.2,0.422,231.3,381.3,1.02182,3.02,1.26,13.3,4
11.8,0.83,1.1,52.5,0.285,156.3,338.5,1.02578,3.22,1.37,13.0,4
13.2,0.83,0.75,30.4,0.16,129.3,214.6,1.01805,3.27,1.53,11.2,4
12.5,0.56,0.36,36.7,0.123,208.2,244.2,0.99945,3.17,1.67,11.2,4
12.7,0.59,0.87,38.1,0.196,202.7,207.6,1.00908,3.14,1.09,11.9,4
12.1,0.97,1.38,31.6,0.454,152.7,314.5,1.0144,3.12,1.31,11.6,4
8.2,0.95,1.27,33.2,0.351,133.5,246.1,1.02292,3.17,1.05,10.6,4
10.3,1.26,0.58,46.4,0.25,123.1,119.7,1.01065,3.12,1.41,12.0,4
7.7,1.12,1.47,35.1,0.168,227.2,226.4,1.01353,3.09,1.49,13.4,4
10.5,1.07,1.39,31.3,0.381,100.1,318.9,1.03026,2.93,0.73,11.8,4
12.3,0.99,1.17,34.9,0.122,189.4,324.5,1.01793,3.07,1.69,12.5,4
7.8,1.11,1.21,34.2,0.376,196.5,283.5,1.01863,3.12,1.46,13.1,4
10.8,1.01,0.73,49.7,0.327,163.0,383.0,1.01418,2.97,1.04,11.9,4
6.7,1.31,1.18,46.6,0.198,211.1,358.5,1.02461,3.19,1.15,12.7,4
8.6,1.31,1.23,34.2,0.214,172.9,298.5,1.01532,3.42,1.03,11.5,4
10.2,0.94,1.1,48.1,0.327,204.2,315.5,1.02261,3.16,0.99,10.7,4
13.2,0.83,1.05,40.6,0.273,174.5,292.5,1.02622,3.0,1.02,12.3,4
8.6,0.88,1.37,44.9,0.152,138.0,289.2,1.03406,2.91,1.26,12.4,4
11.6,1.1,1.35,41.8,0.392,95.3,260.5,1.00928,3.29,1.36,11.8,4
10.4,0.92,0.87,56.0,0.309,165.9,247.0,1.01933,3.35,0.89,12.7,4
14.5,1.49,0.5,43.8,0.247,199.1,394.2,1.01587,2.86,1.42,12.6,4
10.0,1.0,1.02,48.4,0.195,211.4,397.5,1.01272,3.16,1.19,12.0,4
13.1,1.03,0.89,53.3,0.33,244.8,317.5,0.99868,2.94,1.26,13.9,4
13.0,1.13,0.91,53.0,0.294,140.8,336.3,1.00658,3.0,1.44,12.6,4
11.2,0.52,1.24,43.2,0.182,116.5,318.6,1.02314,3.27,1.15,12.0,4
10.0,1.31,1.15,53.3,0.433,231.3,355.0,1.0201,3.1,1.4,10.8,4
11.5,1.17,1.21,56.7,0.368,108.2,241.9,1.01579,3.25,0.91,12.5,4
13.1,1.07,0.31,53.9,0.418,126.0,284.1,1.0123,3.11,1.1,10.8,4
10.8,0.49,1.05,50.7,0.373,203.9,280.1,1.02499,3.03,1.23,12.7,4
11.6,1.01,1.31,54.6,0.223,224.3,389.3,1.02579,2.93,1.18,9.7,4
11.3,1.01,1.21,44.0,0.225,163.7,349.2,1.02351,2.89,0.94,11.8,4
9.4,0.96,0.77,37.4,0.238,197.2,185.7,1.02844,2.84,1.28,11.6,4
11.9,0.82,0.89,46.9,0.198,151.9,147.5,1.00806,3.2,0.71,11.0,4
7.2,1.35,1.11,49.0,0.261,164.8,249.7,1.01181,3.23,1.05,11.2,4
12.0,1.12,0.96,33.3,0.236,161.7,171.3,1.00913,3.16,1.3,11.1,4
9.1,0.92,0.99,57.9,0.149,184.4,270.4,1.01561,3.0,1.36,13.5,4
13.4,0.96,0.54,45.4,0.205,165.3,156.4,1.01457,3.13,1.28,10.3,4
10.3,0.73,1.03,38.4,0.158,199.1,345.7,1.02083,3.19,0.8,12.0,4
14.3,0.65,1.41,50.0,0.177,155.5,366.7,1.0118,2.96,1.81,10.4,4
14.0,0.78,1.12,30.3,0.264,122.1,174.6,1.02445,2.92,1.12,10.3,4
13.0,1.34,0.92,52.5,0.199,198.1,149.6,1.02771,2.89,1.13,11.0,4
13.0,1.37,0.75,54.3,0.153,207.6,340.9,1.00659,3.07,1.24,11.6,4
13.0,1.02,1.34,49.6,0.257,228.2,268.4,1.02132,3.05,1.25,12.4,4
9.4,1.36,1.0,48.0,0.243,256.8,284.8,1.01476,3.01,1.23,10.8,4
6.8,1.06,1.04,49.9,0.338,121.6,290.3,1.02305,3.35,1.01,11.5,4
9.6,0.44,1.21,37.5,0.223,126.3,312.2,1.01995,2.97,1.47,13.4,4
9.2,1.19,0.87,47.4,0.237,180.1,106.8,1.01616,2.86,1.38,12.1,4
13.5,1.27,0.75,37.9,0.395,243.1,225.4,1.01969,3.06,1.11,9.4,4
9.9,1.24,0.87,46.2,0.149,254.4,294.2,1.0096,2.94,1.19,12.3,4
13.6,0.89,1.05,39.4,0.334,231.3,175.0,1.00811,3.08,1.06,9.7,4
10.3,1.24,0.88,60.5,0.37,167.3,408.4,1.02736,3.14,1.55,10.8,4
13.0,0.61,0.98,42.4,0.155,160.7,247.3,1.02439,3.08,1.1,12.2,4
12.6,1.2,1.01,47.0,0.257,204.7,343.9,1.02775,3.09,0.73,11.2,4
9.7,1.1,1.26,35.3,0.395,147.5,289.2,1.03047,3.26,1.13,10.4,4
13.0,1.3,0.72,24.2,0.153,219.8,232.4,1.0138,3.3,1.46,11.2,4
10.8,0.71,0.71,40.1,0.258,222.8,215.0,1.02417,3.05,1.38,11.7,4
13.5,0.45,0.99,32.7,0.371,93.2,200.4,1.02189,3.28,1.58,10.3,4
7.8,1.0,1.28,29.9,0.224,130.3,156.4,1.02082,3.03,1.26,10.8,4
12.4,0.84,0.94,36.6,0.377,149.4,275.8,1.02654,3.46,1.25,10.3,4
14.0,0.78,1.12,30.3,0.264,122.1,174.6,1.02445,2.92,1.12,10.3,4
8.1,0.94,1.11,56.0,0.422,141.2,362.2,1.02566,3.52,0.85,11.0,4
9.0,1.16,1.04,55.6,0.455,154.9,229.2,1.02721,3.4,1.34,12.3,4
14.3,0.65,1.41,50.0,0.177,155.5,366.7,1.0118,2.96,1.81,10.4,4
10.7,0.89,1.22,55.1,0.255,104.8,241.2,1.03267,3.16,1.21,10.5,4
11.8,0.85,0.8,44.6,0.206,203.6,184.4,1.0222,3.33,1.03,11.0,4
12.3,0.56,1.17,34.9,0.201,123.6,273.7,1.00174,3.04,1.27,12.3,4
11.1,1.37,0.94,36.9,0.254,245.7,275.7,1.01967,2.9,1.49,11.6,4
13.6,0.6,1.11,36.0,0.205,140.8,269.7,1.02239,3.3,1.67,10.6,4
8.4,1.05,1.24,53.4,0.262,50.7,189.0,1.0227,3.2,1.29,12.1,4
10.7,0.73,0.92,44.7,0.154,139.4,352.2,1.00964,3.09,1.17,11.4,4
12.5,1.01,1.2,47.6,0.184,48.3,315.7,1.01192,3.3,0.88,11.3,4
6.4,1.31,0.91,31.3,0.164,146.1,296.2,1.01606,2.97,1.13,13.6,4
9.9,1.2,1.18,38.5,0.184,239.5,235.2,1.02761,3.18,1.31,11.3,4
11.9,0.68,1.07,46.6,0.261,196.1,335.9,1.01171,3.44,1.08,13.0,4
8.5,1.36,0.86,33.4,0.147,198.0,313.5,1.02267,3.08,1.37,11.4,4
9.6,0.41,1.2,49.5,0.28,116.1,222.9,1.00801,3.08,1.24,12.3,4
11.3,0.9,1.13,39.2,0.207,200.7,405.8,1.01483,2.88,1.62,12.9,4
11.1,1.37,0.72,45.2,0.24,192.9,364.0,1.00581,3.11,1.27,10.7,4
10.8,1.02,1.2,32.4,0.406,226.9,365.3,1.01322,3.02,1.31,10.2,4
12.2,1.11,0.65,42.6,0.191,244.4,242.8,1.01638,3.12,0.85,9.8,4
13.4,0.55,1.15,50.9,0.288,165.1,244.9,1.01699,2.96,0.91,11.8,4
