Date,Region,Magnitude,Depth,Latitude,Longitude
15/07/2023,Northwestern Kashmir,2.9,17,35.61,74.04
18/02/2023,"Hindu Kush Region,Afghanistan",4.0,183,36.63,70.94
13/10/2023,"Mindanao, Philippines",5.0,92,13.82,120.67
24/07/2023,"Hindu Kush Region,Afghanistan",3.4,110,36.34,70.6
12/12/2023,"Mindanao, Philippines",5.5,55,8.75,126.89
14/10/2023,South Sandwich Island Region,5.5,115,-59.03,-25.81
20/12/2023,Northwestern Kashmir,3.2,25,36.51,74.43
11/11/2023,Southwestern Afghanistan,3.9,65,32.08,63.01
12/07/2023,Afghanistan-Tajikistan Border Region,4.0,103,36.09,71.51
16/06/2023,Tajikistan,4.2,92,37.95,73.83
24/10/2023,Taiwan Region,4.7,99,23.97,122.26
09/02/2023,"Hindu Kush Region,Afghanistan",4.8,224,36.09,68.79
04/11/2023,Turkmenistan-Iran Border Region,4.7,15,37.1,55.08
19/04/2023,10 Km West of Chitral,2.9,21,35.84,71.67
13/11/2023,"New Ireland Region, P.N.G",5.7,10,-3.95,150.86
02/05/2023,Afghanistan-Tajikistan Border Region.,5.3,307,37.51,70.81
16/10/2023,"Salta Province, Argentina",5.4,158,-24.43,-67.0
21/08/2023,"Hindu Kush Region,Afghanistan",4.3,182,36.28,70.98
14/10/2023,"17 Km west of Dera Allah Yar, Sindh",3.7,57,28.42,68.14
24/02/2023,Afghanistan-Tajikistan Border Region,3.3,131,36.38,71.15
09/03/2023,Tajikistan-Xinjiang Border Region,3.4,15,38.17,73.65
28/05/2023,"Hindu Kush Region,Afghanistan",3.9,173,36.48,70.38
24/12/2023,"Hindu Kush Region,Afghanistan",3.9,175,36.47,70.94
23/10/2023,"Hindu Kush Region, Afghanistan",3.7,111,36.77,69.95
05/11/2023,Tajikistan,3.9,280,38.77,69.72
02/06/2023,"Southern Xizang, China",3.2,122,38.19,75.24
11/06/2023,Afghanistan-Tajikistan Border Region,4.3,230,36.77,72.14
04/11/2023,"20 km SW of Uthal, Balochistan",3.8,15,25.63,66.52
03/12/2023,Philippines Islands Region,5.2,35,8.75,127.1
26/12/2023,"Southeast of Honshu, Japan",4.3,99,31.45,139.96
06/07/2023,Kashmir-India Border Region,4.6,15,32.23,76.14
01/11/2023,Timor Region,5.9,47,-10.03,123.66
21/06/2023,Tajikistan-Xinjiang Border Region,4.4,145,38.03,73.31
22/11/2023,Tajikistan,4.0,30,38.65,72.31
04/06/2023,Tajikistan-Xinjiang Border Region,4.4,130,38.2,74.17
07/04/2023,Afghanistan-Tajikistan Border Region,3.9,159,36.0,71.06
08/08/2023,Afghanistan-Tajikistan Border Region,4.5,90,38.41,71.52
20/11/2023,Southern Iran,4.3,40,27.3,56.68
05/08/2023,Afghanistan-Tajikistan Border Region,5.9,119,37.14,69.2
06/12/2023,Philippine Islands Region,5.0,127,8.59,127.08
22/10/2023,Nepal,4.9,10,28.05,84.74
23/06/2023,Afghanistan-Tajikistan Border Region,3.7,171,36.83,71.81
28/10/2023,Fiji Islands Region,5.0,248,-20.47,-167.42
07/08/2023,Kashmir-India Border Region,4.7,55,32.67,75.77
05/09/2023,Afghanistan-Tajikistan Border Region,4.3,92,37.22,71.61
28/11/2023,Windward Islands,5.6,5,12.81,-59.46
13/07/2023,Tajikistan-Xinjiang Border Region,3.4,150,38.34,73.24
10/11/2023,"Hindu Kush Region,Afghanistan",3.7,120,36.89,69.41
22/09/2023,"Hindu Kush Region,Afghanistan",3.9,133,36.59,70.54
09/12/2023,Southeastern Afghanistan,4.1,99,31.64,64.51
03/12/2023,"Seram, Indonesia",4.9,40,-2.72,129.49
05/12/2023,Afghanistan-Tajikistan Border Region,3.7,70,36.55,71.11
09/04/2023,"Hindu Kush Region,Afghanistan",3.9,194,36.83,70.97
12/11/2023,"New Ireland Region, P.N.G",5.5,72,-3.67,151.19
01/03/2023,Tajikistan-Xinjiang Border Region,4.8,15,38.46,73.6
10/11/2023,Banda Sea,5.3,15,-5.97,130.1
08/02/2023,"10 Km East of Mastung, Balochistan",4.0,13,29.8,66.95
03/12/2023,Tajikistan-Xinjiang Border Region,3.4,33,38.34,73.87
18/10/2023,Turkmenistan-Afghanistan Border Reg.,4.9,0,36.29,64.15
26/12/2023,North Atlantic Ocean,5.2,5,19.24,-68.7
30/11/2023,40 Km Northeast of Abbotabad,3.6,33,34.48,73.45
19/10/2023,"Java, Indonesia",5.2,62,-7.78,107.4
08/01/2023,Afghanistan-Tajikistan Border Region,3.7,119,37.05,71.67
28/10/2023,Vanuatu Islands,5.4,235,-13.21,167.19
20/02/2023,Mid Indian Ridge,5.0,75,-12.65,66.31
23/07/2023,"Hindu Kush Region,Afghanistan",3.7,140,35.57,66.83
02/02/2023,56 KM Northeast of Bela Baluchistan,4.3,41,26.67,66.67
09/12/2023,"Mindanao, Philippines",5.1,10,6.56,126.6
04/06/2023,Afghanistan-Tajikistan Border Region,3.9,212,36.71,71.12
12/12/2023,Tonga Islands,5.9,10,-20.22,-173.82
31/12/2023,Westren Nei Mongol China,4.8,38,36.78,104.04
10/12/2023,"Mindanao, Philippines",4.7,104,9.93,126.05
17/11/2023,Myanmar-China Border Region,5.5,24,21.26,99.32
24/12/2023,Tonga Islands,5.6,5,-20.79,-174.23
27/06/2023,Afghanistan-Tajikistan Border Region,6.3,157,36.55,71.44
07/08/2023,Afghanistan-Tajikistan Border Region,5.3,106,37.44,72.0
31/12/2023,Leeward Islands,4.7,35,15.17,-60.24
02/12/2023,"Mindanao, Philippines",5.2,81,8.36,126.83
08/09/2023,Afghanistan-Tajikistan Border Region,4.2,177,36.76,71.04
30/09/2023,Northern India,4.5,50,26.79,73.75
29/04/2023,"Hindu Kush Region,Afghanistan",4.0,141,36.51,70.91
19/08/2023,Afghanistan-Tajikistan Border Region.,3.3,229,36.39,71.3
28/11/2023,"Hindu Kush Region,Afghanistan",3.7,110,35.73,68.55
28/12/2023,"Hindu Kush Region,Afghanistan",3.5,150,35.79,70.34
03/03/2023,Tajikistan-Xinjiang Border Region,3.5,10,38.19,73.88
26/08/2023,Afghanistan-Tajikistan Border Region.,3.7,110,36.34,71.96
17/07/2023,Kashmir-India Border Region,4.2,18,32.58,75.88
06/02/2023,Turkey,6.4,57,38.04,37.66
10/09/2023,Iraq,4.9,88,35.39,44.7
08/10/2023,Tajikistan,4.1,90,40.48,71.24
25/11/2023,Ecuador,4.9,115,-1.94,-77.01
02/12/2023,"18 Km Southwest of Kohat, KPK",3.3,18,33.45,71.39
13/07/2023,Afghanistan-Tajikistan Border Region,3.1,162,37.08,71.67
28/10/2023,Northwestern Kashmir,2.8,16,36.26,73.86
31/03/2023,Kashmir-Xizang Border Region,3.7,140,36.78,76.6
30/11/2023,"Andreanof Islands, Aleutian Islands",5.0,116,51.56,-176.87
03/12/2023,"Mindanao, Philippines",5.5,64,8.65,126.73
17/06/2023,Kashmir-India Border Region,3.5,25,32.98,75.32
14/05/2023,Afghanistan-Tajikistan Border Region,3.5,90,36.46,71.23
04/08/2023,Tajikistan-Xinjiang Border Region,3.6,34,38.2,73.59
21/06/2023,Tajikistan,4.5,110,39.38,71.74
20/12/2023,Northern India,3.4,70,33.33,76.52
26/11/2023,"Off East Coast of Honshu, Japan",5.0,38,38.0,142.57
14/12/2023,"Salta Province, Argentina",5.2,184,-24.07,-66.74
